name,description,nff_primary,gbf_target
MPA Establishment,Designation of new marine protected areas under the EU Biodiversity Strategy 30x30 target,NfN,Target 3
Seagrass Restoration,Restoration of Posidonia oceanica and Zostera marina meadows in degraded coastal areas,NfN,Target 2
Offshore Wind Siting,Biodiversity-sensitive spatial planning for offshore renewable energy installations,NaC,Target 14
Fishing Quota Redistribution,Reallocation of fishing quotas to support small-scale fishers and reduce bycatch,NfS,Target 10
Coastal Wetland Conservation,Protection and restoration of salt marshes and coastal lagoons under Habitats Directive,NfN,Target 2
Posidonia Meadow Protection,Strict protection of Posidonia oceanica habitat under EU Habitats Directive Annex I,NfN,Target 3
Marine Habitat Restoration,Large-scale restoration of degraded marine habitats under EU Nature Restoration Law,NfN,Target 2
Marine Litter Reduction,Implementation of EU Single-Use Plastics Directive and MSFD Descriptor 10 measures,NfS,Target 7
Sustainable Aquaculture Zone,Designation of sustainable aquaculture zones under EMFAF with environmental safeguards,NaC,Target 10
Deep-Sea Mining Moratorium,Precautionary moratorium on deep-sea mineral extraction in EU waters,NfN,Target 3
